Record file Pathname: c:\Users\PRODUCTION\Desktop\mesure ballant.txt
Start acquisition date: 03-23-2020 17:46:49
Sirrah working mode: PC7V MM1 EC10 DD384 DG505 DM505
Mode diagnostique: 0
Comment:

;Status B1;Date B1;Energie B1;Pulse B1;Theta B1;Phi B1;Theta' B1;Phi' B1;;Status B2;Date B2;Energie B2;Pulse B2;Theta B2;Phi B2;Theta' B2;Phi' B2;;Status B3;Date B3;Energie B3;Pulse B3;Theta B3;Phi B3;Theta' B3;Phi' B3;
;00;349906689;196;3;0.063;4.567;-0.007;1.412;8c;349906690;0;0;0.000;0.000;0.000;0.000;8c;349906696;0;0;0.000;0.000;0.000;0.000;
;00;349906889;196;3;0.058;4.782;-0.015;1.460;8c;349906890;0;0;0.000;0.000;0.000;0.000;8c;349906896;0;0;0.000;0.000;0.000;0.000;
;00;349907089;196;3;0.063;4.442;-0.006;0.567;8c;349907090;0;0;0.000;0.000;0.000;0.000;8c;349907096;0;0;0.000;0.000;0.000;0.000;
;00;349907289;196;3;0.068;3.899;0.003;-0.903;8c;349907290;0;0;0.000;0.000;0.000;0.000;8c;349907296;0;0;0.000;0.000;0.000;0.000;
;00;349907489;197;3;0.071;3.564;0.017;-1.895;8c;349907490;0;0;0.000;0.000;0.000;0.000;8c;349907496;0;0;0.000;0.000;0.000;0.000;
;00;349907689;197;3;0.071;3.123;0.017;-2.187;8c;349907690;0;0;0.000;0.000;0.000;0.000;8c;349907696;0;0;0.000;0.000;0.000;0.000;
;00;349907889;197;3;0.067;2.878;0.010;-1.779;8c;349907890;0;0;0.000;0.000;0.000;0.000;8c;349907896;0;0;0.000;0.000;0.000;0.000;
;00;349908089;197;3;0.067;2.620;-0.003;-1.589;8c;349908090;0;0;0.000;0.000;0.000;0.000;8c;349908096;0;0;0.000;0.000;0.000;0.000;
;00;349908289;197;3;0.063;2.267;-0.014;-1.482;8c;349908290;0;0;0.000;0.000;0.000;0.000;8c;349908296;0;0;0.000;0.000;0.000;0.000;
;00;349908489;197;3;0.060;1.909;-0.020;-1.575;8c;349908490;0;0;0.000;0.000;0.000;0.000;8c;349908496;0;0;0.000;0.000;0.000;0.000;
;00;349908689;197;3;0.079;1.599;0.007;-1.660;8c;349908690;0;0;0.000;0.000;0.000;0.000;8c;349908696;0;0;0.000;0.000;0.000;0.000;
;00;349908889;197;3;0.101;1.160;0.053;-1.875;8c;349908890;0;0;0.000;0.000;0.000;0.000;8c;349908896;0;0;0.000;0.000;0.000;0.000;
;00;349909089;197;3;0.112;0.564;0.081;-2.214;8c;349909090;0;0;0.000;0.000;0.000;0.000;8c;349909096;0;0;0.000;0.000;0.000;0.000;
;00;349909289;197;3;0.126;-0.045;0.084;-2.657;8c;349909290;0;0;0.000;0.000;0.000;0.000;8c;349909296;0;0;0.000;0.000;0.000;0.000;
;00;349909489;196;3;0.135;-0.566;0.065;-2.848;8c;349909490;0;0;0.000;0.000;0.000;0.000;8c;349909496;0;0;0.000;0.000;0.000;0.000;
;00;349909689;196;3;0.142;-0.852;0.050;-2.404;8c;349909690;0;0;0.000;0.000;0.000;0.000;8c;349909696;0;0;0.000;0.000;0.000;0.000;
;00;349909889;196;3;0.147;-1.367;0.039;-2.295;8c;349909890;0;0;0.000;0.000;0.000;0.000;8c;349909896;0;0;0.000;0.000;0.000;0.000;
;00;349910089;195;3;0.146;-1.450;0.017;-1.460;8c;349910090;0;0;0.000;0.000;0.000;0.000;8c;349910096;0;0;0.000;0.000;0.000;0.000;
;00;349910289;195;3;0.157;-1.723;0.032;-1.550;8c;349910290;0;0;0.000;0.000;0.000;0.000;8c;349910296;0;0;0.000;0.000;0.000;0.000;
;00;349910489;195;3;0.151;-1.725;-0.003;-0.560;8c;349910490;0;0;0.000;0.000;0.000;0.000;8c;349910496;0;0;0.000;0.000;0.000;0.000;
;00;349910689;195;3;0.147;-1.804;0.000;-0.659;8c;349910690;0;0;0.000;0.000;0.000;0.000;8c;349910696;0;0;0.000;0.000;0.000;0.000;
;00;349910889;194;3;0.161;-2.540;0.012;-1.264;8c;349910890;0;0;0.000;0.000;0.000;0.000;8c;349910896;0;0;0.000;0.000;0.000;0.000;
;00;349911089;194;3;0.166;-2.859;0.012;-1.765;8c;349911090;0;0;0.000;0.000;0.000;0.000;8c;349911096;0;0;0.000;0.000;0.000;0.000;
;00;349911289;193;3;0.173;-3.425;0.017;-2.651;8c;349911290;0;0;0.000;0.000;0.000;0.000;8c;349911296;0;0;0.000;0.000;0.000;0.000;
;00;349911489;192;3;0.180;-3.731;0.023;-2.035;8c;349911490;0;0;0.000;0.000;0.000;0.000;8c;349911496;0;0;0.000;0.000;0.000;0.000;
;00;349911689;191;3;0.185;-4.028;0.029;-2.023;8c;349911690;0;0;0.000;0.000;0.000;0.000;8c;349911696;0;0;0.000;0.000;0.000;0.000;
;00;349911889;190;3;0.193;-4.336;0.034;-1.585;8c;349911890;0;0;0.000;0.000;0.000;0.000;8c;349911896;0;0;0.000;0.000;0.000;0.000;
;00;349912089;190;3;0.189;-4.640;0.014;-1.454;8c;349912090;0;0;0.000;0.000;0.000;0.000;8c;349912096;0;0;0.000;0.000;0.000;0.000;
;00;349912309;190;3;0.189;-4.335;0.012;-0.539;8c;349912310;0;0;0.000;0.000;0.000;0.000;8c;349912316;0;0;0.000;0.000;0.000;0.000;
;00;349912509;191;3;0.187;-4.026;0.000;0.374;8c;349912510;0;0;0.000;0.000;0.000;0.000;8c;349912516;0;0;0.000;0.000;0.000;0.000;
;00;349912709;193;3;0.167;-3.322;-0.040;1.881;8c;349912710;0;0;0.000;0.000;0.000;0.000;8c;349912716;0;0;0.000;0.000;0.000;0.000;
;00;349912909;194;3;0.165;-2.811;-0.037;2.495;8c;349912910;0;0;0.000;0.000;0.000;0.000;8c;349912916;0;0;0.000;0.000;0.000;0.000;
;00;349913109;194;3;0.161;-2.741;-0.039;2.157;8c;349913110;0;0;0.000;0.000;0.000;0.000;8c;349913116;0;0;0.000;0.000;0.000;0.000;
;00;349913309;193;3;0.167;-2.740;-0.017;1.118;8c;349913310;0;0;0.000;0.000;0.000;0.000;8c;349913316;0;0;0.000;0.000;0.000;0.000;
;00;349913509;193;3;0.168;-2.740;0.003;0.142;8c;349913510;0;0;0.000;0.000;0.000;0.000;8c;349913516;0;0;0.000;0.000;0.000;0.000;
;00;349913709;194;3;0.170;-2.281;0.004;0.715;8c;349913710;0;0;0.000;0.000;0.000;0.000;8c;349913716;0;0;0.000;0.000;0.000;0.000;
;00;349913909;195;3;0.159;-1.892;-0.004;1.323;8c;349913910;0;0;0.000;0.000;0.000;0.000;8c;349913916;0;0;0.000;0.000;0.000;0.000;
;00;349914109;195;3;0.146;-1.449;-0.034;2.012;8c;349914110;0;0;0.000;0.000;0.000;0.000;8c;349914116;0;0;0.000;0.000;0.000;0.000;
